[Users]
userId,registeredAt,status
test,,ACTIVE

[Vehicles]
vehicleId,modelName,status,location,battery(%)
KB001,Model S,AVAILABLE,"9,4",68
KB002,Model A,AVAILABLE,"10,10",100
KB003,Model T,AVAILABLE,"0,0",14

[Rentals]
rentalId,userId,vehicleId,startTime,endTime,status
RNT-74ae81f2,test,KB001,2025-11-14T14:22:33.607615700,2025-11-14T14:32:27.950039900,COMPLETED
RNT-782ab043,test,KB001,2025-11-14T14:33:37.129623200,2025-11-14T14:38:41.505201300,COMPLETED
RNT-524e62dc,test,KB001,2025-11-14T14:38:52.415885700,2025-11-14T14:39:22.475144300,COMPLETED
RNT-e1ec48de,test,KB001,2025-11-14T14:45:45.153869200,2025-11-14T14:52:45.645325,COMPLETED
RNT-56afe0f2,test,KB001,2025-11-14T14:53:02.339847900,2025-11-14T14:53:15.203479800,COMPLETED
RNT-4ea6aad4,test,KB001,2025-11-14T14:55:20.405383700,2025-11-14T14:57:25.384757,COMPLETED

[Meta]
currentUserId
test
